2018-05-06 10:40:21.508261: {'loss': 1.0926813, 'avg': 1.51, 'accuracy': 0.38, 'spare': 0.37, 'var': -1, 'steps': 9300}
2018-05-06 10:40:21.901386: {'loss': 1.092798, 'avg': 1.51, 'accuracy': 0.39, 'spare': 0.37, 'var': -1, 'steps': 9400}
2018-05-06 10:40:22.288416: {'loss': 1.087991, 'avg': 1.5, 'accuracy': 0.38, 'spare': 0.37, 'var': -1, 'steps': 9500}
2018-05-06 10:40:22.663969: {'loss': 1.0861802, 'avg': 1.5, 'accuracy': 0.38, 'spare': 0.37, 'var': -1, 'steps': 9600}
2018-05-06 10:40:23.031031: {'loss': 1.0843303, 'avg': 1.51, 'accuracy': 0.38, 'spare': 0.38, 'var': -1, 'steps': 9700}
2018-05-06 10:40:23.407248: {'loss': 1.0825222, 'avg': 1.5, 'accuracy': 0.38, 'spare': 0.37, 'var': -1, 'steps': 9800}
2018-05-06 10:40:24.031567: {'loss': 1.0806667, 'avg': 1.49, 'accuracy': 0.39, 'spare': 0.37, 'var': -1, 'steps': 9900}
2018-05-06 10:40:24.519387: {'loss': 1.0789524, 'avg': 1.48, 'accuracy': 0.39, 'spare': 0.36, 'var': -1, 'steps': 10000}
2018-05-06 10:40:24.899886: {'loss': 1.0770649, 'avg': 1.48, 'accuracy': 0.39, 'spare': 0.36, 'var': -1, 'steps': 10100}
2018-05-06 10:40:25.307614: {'loss': 1.075136, 'avg': 1.48, 'accuracy': 0.39, 'spare': 0.36, 'var': -1, 'steps': 10200}
2018-05-06 10:40:25.701285: {'loss': 1.0732025, 'avg': 1.48, 'accuracy': 0.39, 'spare': 0.36, 'var': -1, 'steps': 10300}
2018-05-06 10:40:26.067950: {'loss': 1.0713197, 'avg': 1.48, 'accuracy': 0.39, 'spare': 0.36, 'var': -1, 'steps': 10400}
2018-05-06 10:40:26.453319: {'loss': 1.0700238, 'avg': 1.49, 'accuracy': 0.38, 'spare': 0.36, 'var': -1, 'steps': 10500}
2018-05-06 10:40:26.828596: {'loss': 1.0682415, 'avg': 1.49, 'accuracy': 0.39, 'spare': 0.36, 'var': -1, 'steps': 10600}
